2 42.981 85.981 100 6447.203 270 0.999769
3 3 3 0 0
103.0 6637.527 271.0 42.684 1 1 1
93.0 5435.783 269.0 43.001 1 1 2
102.0 6655.789 272.0 42.655 1 1 3
91.0 6338.097 260.0 44.623 1 2 1
94.0 5975.691 268.0 43.291 1 2 2
98.0 6174.718 265.0 43.782 1 2 3
104.0 6903.684 274.0 42.344 1 3 1
98.0 6298.606 269.0 43.131 1 3 2
101.0 6503.882 273.0 42.499 1 3 3
105.0 6655.178 279.0 41.585 2 1 1
93.0 6345.787 267.0 43.453 2 1 2
105.0 6428.650 278.0 41.735 2 1 3
106.0 6424.178 280.0 41.436 2 2 1
97.0 6362.568 259.0 44.796 2 2 2
90.0 6297.268 258.0 44.969 2 2 3
106.0 6409.963 277.0 41.885 2 3 1
102.0 6418.864 273.0 42.499 2 3 2
98.0 6345.787 267.0 43.454 2 3 3
101.0 6509.058 271.0 42.812 3 1 1
108.0 6571.988 279.0 41.585 3 1 2
110.0 6525.212 281.0 41.289 3 1 3
103.0 6395.437 274.0 42.344 3 2 1
94.0 6481.264 265.0 43.781 3 2 2
91.0 6068.246 262.0 44.282 3 2 3
99.0 6126.042 269.0 43.131 3 3 1
103.0 6564.853 274.0 42.344 3 3 2
105.0 6667.580 275.0 42.190 3 3 3 
